# index, label, _pos
470,145,"array([17.24132348, 15.83744473])"
471,1165,"array([17.29016772, 15.91578646])"
472,146,"array([19.25744075, 17.67947329])"
473,1166,"array([19.34050019, 17.61547017])"
474,147,"array([17.94613089, 14.52593479])"
475,1167,"array([17.87224187, 14.59391303])"
476,148,"array([18.63543798, 16.32996888])"
477,1168,"array([18.6773262 , 16.24696865])"
478,149,"array([19.87503635, 16.76379494])"
479,1169,"array([19.86863973, 16.85834645])"
480,150,"array([18.49561009, 15.341287  ])"
481,1170,"array([18.5659377 , 15.28385507])"
482,151,"array([19.54305178, 16.4004232 ])"
483,1171,"array([19.56928156, 16.30711671])"
484,152,"array([17.12251324, 15.52749438])"
485,1172,"array([17.2093035 , 15.49628701])"
486,153,"array([18.73040896, 17.56710609])"
487,1173,"array([18.62910767, 17.56715798])"
488,154,"array([19.56495951, 16.96004549])"
489,1174,"array([19.48147976, 17.0108173 ])"
490,155,"array([19.61178246, 16.34667538])"
491,1175,"array([19.57906103, 16.43997213])"
492,156,"array([19.38992405, 16.71999416])"
493,1176,"array([19.32964122, 16.65441411])"
494,157,"array([16.9438283, 16.8326384])"
495,1177,"array([16.8781153 , 16.76446443])"
496,158,"array([18.08620422, 16.31889968])"
497,1178,"array([18.00734859, 16.3627215 ])"
498,159,"array([19.84884217, 16.50443844])"
499,1179,"array([19.89467831, 16.56493236])"
500,160,"array([18.33610389, 15.84984122])"
501,1180,"array([18.24285349, 15.86175054])"
502,161,"array([17.25781827, 16.97653494])"
503,1181,"array([17.23950577, 16.88256741])"
504,162,"array([17.45146701, 15.53150671])"
505,1182,"array([17.53309907, 15.48691941])"
506,163,"array([17.61160825, 14.4692886 ])"
507,1183,"array([17.52094351, 14.48862133])"
508,164,"array([18.18500028, 16.63475526])"
509,1184,"array([18.20772439, 16.72185734])"
510,165,"array([19.12627525, 17.4976283 ])"
511,1185,"array([19.08432029, 17.42781151])"
512,166,"array([18.67713161, 15.84126785])"
513,1186,"array([18.65353966, 15.93086624])"
514,167,"array([18.21378748, 16.87264843])"
515,1187,"array([18.30744783, 16.86188103])"
516,168,"array([17.87127312, 16.863131  ])"
517,1188,"array([17.88847274, 16.77728019])"
518,169,"array([16.79922257, 16.00882556])"
519,1189,"array([16.73225104, 15.97453996])"
520,170,"array([18.87518835, 17.86010929])"
521,1190,"array([18.95035349, 17.81106075])"
522,171,"array([16.87647281, 17.06960696])"
523,1191,"array([16.89977204, 17.11820586])"
524,172,"array([17.05148441, 16.13075101])"
525,1192,"array([17.01997946, 16.21921994])"
526,173,"array([17.38463527, 17.30256636])"
527,1193,"array([17.46649764, 17.27545023])"
528,174,"array([18.36853159, 17.15041658])"
529,1194,"array([18.42169147, 17.2201176 ])"
530,175,"array([17.17826088, 15.71412365])"
531,1195,"array([17.23072091, 15.7876131 ])"
532,176,"array([17.18561892, 17.39623161])"
533,1196,"array([17.27471077, 17.45730597])"
534,177,"array([18.59223336, 17.80792596])"
535,1197,"array([18.51903679, 17.84863729])"
536,178,"array([17.79088505, 17.15088498])"
537,1198,"array([17.7095431 , 17.09568154])"
538,179,"array([18.10998811, 17.35045853])"
539,1199,"array([18.0400889 , 17.39521927])"
540,180,"array([17.86526557, 17.40050289])"
541,1200,"array([17.90800627, 17.47933528])"
542,1620,"array([17.7698835 , 17.35669778])"
543,181,"array([17.03487701, 17.22694579])"
544,1201,"array([16.99990975, 17.13698391])"
545,1621,"array([17.11331438, 17.30682523])"
546,182,"array([17.45528223, 17.52193288])"
547,1202,"array([17.49843866, 17.58940407])"
548,1622,"array([17.54207339, 17.51422957])"
549,183,"array([18.5017383 , 17.88635613])"
550,1203,"array([18.39133701, 17.87954534])"
551,1623,"array([18.57501621, 17.85550268])"
552,184,"array([17.62167987, 16.94011977])"
553,1204,"array([17.53516369, 16.96458524])"
554,1624,"array([17.62424252, 16.84490349])"
555,185,"array([18.42528858, 17.35924016])"
556,1205,"array([18.52958423, 17.35601637])"
