# index, label, _pos
359,1179,"array([ 0.36508114, -1.93506841])"
360,100,"array([ 0.48663611, -2.1856851 ])"
361,820,"array([ 0.515326 , -2.2275445])"
362,1180,"array([ 0.50318632, -2.13871778])"
363,101,"array([ 0.9392815 , -2.83651178])"
364,821,"array([ 0.89616134, -2.87517889])"
365,1181,"array([ 0.94522831, -2.78336011])"
366,102,"array([ 0.26917803, -3.08159989])"
367,822,"array([ 0.22499469, -3.04878654])"
368,1182,"array([ 0.32708386, -3.07949347])"
369,103,"array([ 0.02471444, -2.7901957 ])"
370,823,"array([ 0.04652174, -2.83720388])"
371,1183,"array([ 0.05394123, -2.75421288])"
372,104,"array([ 0.62465426, -2.62078822])"
373,824,"array([ 0.66316751, -2.58612507])"
374,1184,"array([ 0.62812267, -2.67160983])"
375,105,"array([ 0.75393862, -2.03985162])"
376,825,"array([ 0.72310638, -2.07806715])"
377,1185,"array([ 0.73775247, -1.98988748])"
378,106,"array([ 0.40402297, -2.01588912])"
379,826,"array([ 0.45649015, -2.00967482])"
380,1186,"array([ 0.36589932, -1.98435026])"
381,107,"array([ 0.88535388, -2.10341839])"
382,827,"array([ 0.85860366, -2.05424441])"
383,1187,"array([ 0.86323185, -2.14874006])"
384,108,"array([ 0.93756041, -2.29837131])"
385,828,"array([ 0.88877966, -2.29145585])"
386,1188,"array([ 0.96105875, -2.3474739 ])"
387,109,"array([ 0.70828202, -2.88672041])"
388,829,"array([ 0.69287514, -2.93444194])"
389,1189,"array([ 0.75264577, -2.85561283])"
390,110,"array([ 1.00920953, -1.97388924])"
391,830,"array([ 0.99279761, -1.92327566])"
392,1190,"array([ 1.0454985 , -2.01874087])"
393,111,"array([ 1.08335539, -2.85390974])"
394,831,"array([ 1.09372889, -2.80309704])"
395,1191,"array([ 1.04501594, -2.89978096])"
396,112,"array([ 0.75155503, -2.70463046])"
397,832,"array([ 0.79808368, -2.71596808])"
398,1192,"array([ 0.74357838, -2.65508481])"
399,113,"array([ 1.06674192, -2.65854159])"
400,833,"array([ 1.02172829, -2.6452201 ])"
401,1193,"array([ 1.09738613, -2.61347142])"
402,114,"array([ 1.00558792, -2.00392968])"
403,834,"array([ 1.03298156, -1.96845613])"
404,1194,"array([ 0.95455251, -1.98171833])"
405,115,"array([ 0.45174921, -3.16402468])"
406,835,"array([ 0.47652394, -3.12325487])"
407,1195,"array([ 0.49813141, -3.18061706])"
408,116,"array([ 1.18797712, -2.6581851 ])"
409,836,"array([ 1.19607898, -2.59975867])"
410,1196,"array([ 1.18761992, -2.685044  ])"
411,117,"array([ 1.02250583, -2.174375  ])"
412,837,"array([ 1.06820055, -2.17563889])"
413,1197,"array([ 1.00234187, -2.22419672])"
414,118,"array([ 1.09525416, -2.34762241])"
415,838,"array([ 1.07683285, -2.39883448])"
416,1198,"array([ 1.13558003, -2.33141296])"
417,119,"array([ 1.14792011, -2.15221492])"
418,839,"array([ 1.17511746, -2.20131354])"
419,1199,"array([ 1.13576124, -2.09371901])"
420,120,"array([ 1.1413164, -2.2751004])"
421,840,"array([ 1.17697939, -2.26052824])"
422,121,"array([ 1.1642466 , -2.73927152])"
423,841,"array([ 1.127743 , -2.7529827])"
424,122,"array([ 1.13775038, -2.62578691])"
425,842,"array([ 1.16442815, -2.57685866])"
426,123,"array([ 1.04828504, -2.07164931])"
427,843,"array([ 1.07544602, -2.12089377])"
428,124,"array([ 1.00914189, -2.35178644])"
429,844,"array([ 1.02971322, -2.40120908])"
430,125,"array([ 1.09811249, -2.05362281])"
431,845,"array([ 1.07626582, -1.99894394])"
432,126,"array([ 0.95633186, -2.21993318])"
433,846,"array([ 0.932191  , -2.26544828])"
434,127,"array([ 0.75973175, -2.80468146])"
435,847,"array([ 0.79899226, -2.76818752])"
436,128,"array([ 0.91498269, -1.89993629])"
437,848,"array([ 0.95287364, -1.88131327])"
438,129,"array([ 0.58073739, -2.69884703])"
439,849,"array([ 0.57393553, -2.75067902])"
440,130,"array([ 0.47031993, -3.21490473])"
441,850,"array([ 0.51655109, -3.20842059])"
442,131,"array([ 0.4381596 , -2.43510741])"
443,851,"array([ 0.470752  , -2.39661076])"
444,132,"array([ 0.27862609, -1.82085514])"
445,852,"array([ 0.33259861, -1.81679731])"
446,133,"array([ 0.98479337, -2.74240852])"
447,853,"array([ 0.98600335, -2.68819814])"
448,134,"array([ 0.70230833, -1.62044116])"
449,854,"array([ 0.75474828, -1.63046919])"
450,135,"array([ 0.47405255, -2.09618481])"
451,855,"array([ 0.49155597, -2.04836788])"
452,136,"array([ 0.93201793, -2.93157282])"
453,856,"array([ 0.88507772, -2.9261724 ])"
454,137,"array([ 0.2501077 , -2.29119673])"
455,857,"array([ 0.26894638, -2.33849501])"
456,138,"array([ 0.37533503, -1.53712938])"
457,858,"array([ 0.31515942, -1.54350695])"
458,139,"array([ 0.88785376, -2.19749776])"
459,859,"array([ 0.86423449, -2.24264877])"
460,140,"array([ 0.93178115, -2.02134291])"
461,860,"array([ 0.88059171, -2.00899995])"
462,141,"array([ 0.60235788, -2.93644342])"
463,861,"array([ 0.6423574 , -2.95723029])"
464,142,"array([ 0.61829653, -1.56352966])"
465,862,"array([ 0.58155849, -1.5870604 ])"
466,143,"array([ 1.02615593, -2.94527879])"
467,863,"array([ 0.98174759, -2.98517399])"
468,144,"array([ 0.69407122, -2.64805734])"
469,864,"array([ 0.68111456, -2.60185078])"
470,145,"array([ 0.19660394, -2.10327165])"
471,865,"array([ 0.16331348, -2.14552267])"
472,146,"array([-0.04047313, -2.84771578])"
473,866,"array([ 0.00936868, -2.8658709 ])"
474,147,"array([ 0.79230201, -2.14414475])"
475,867,"array([ 0.74456137, -2.12931222])"
476,148,"array([ 0.43683834, -2.27214645])"
477,868,"array([ 0.48868963, -2.27175017])"
478,149,"array([ 0.31367172, -3.18801559])"
479,869,"array([ 0.27077726, -3.16169911])"
480,150,"array([ 0.60745449, -2.516904  ])"
481,870,"array([ 0.65442467, -2.53445344])"
482,151,"array([ 0.37187939, -3.10874833])"
483,871,"array([ 0.43004377, -3.09949504])"
484,152,"array([ 0.33932882, -1.9775224 ])"
485,872,"array([ 0.36398657, -2.02216135])"
486,153,"array([-0.07071988, -2.53826047])"
487,873,"array([-0.09283665, -2.48838385])"
488,154,"array([ 0.08817349, -3.16924488])"
489,874,"array([ 0.03745444, -3.14217823])"
490,155,"array([ 0.5123215 , -2.67920999])"
491,875,"array([ 0.46142762, -2.67885094])"
492,156,"array([ 0.15300914, -3.08798443])"
493,876,"array([ 0.16733534, -3.04502997])"
494,157,"array([-0.1712423, -1.7695088])"
495,877,"array([-0.15295158, -1.72986948])"
496,158,"array([ 0.3138098 , -2.00026163])"
497,878,"array([ 0.26892496, -1.97314513])"
498,159,"array([ 0.44557431, -2.84216487])"
499,879,"array([ 0.42210132, -2.88399166])"
500,160,"array([ 0.30524771, -2.55826616])"
501,880,"array([ 0.27685891, -2.51626525])"
502,161,"array([-0.14630456, -1.90761254])"
503,881,"array([-0.10290356, -1.86917954])"
504,162,"array([ 0.52407619, -1.66288295])"
505,882,"array([ 0.56831749, -1.69581021])"
506,163,"array([ 0.76659009, -1.95436004])"
507,883,"array([ 0.74474096, -1.90757627])"
508,164,"array([ 0.16744003, -2.124662  ])"
509,884,"array([ 0.12866019, -2.1596082 ])"
510,165,"array([ 0.03696785, -2.70447667])"
511,885,"array([ 0.067716  , -2.66708565])"
512,166,"array([ 0.38869283, -2.73080261])"
513,886,"array([ 0.3369152 , -2.73681961])"
514,167,"array([-0.09170964, -2.64033449])"
