# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
3,3263,DM_PPI1704659,high,ppi,MI:0018,MI:0833;MI:0943;MI:0096;MI:0082;MI:0705;MI:0007;MI:0006;MI:0113;MI:0004;MI:0029,,DroID;FlyBase;DIP;BioGrid;IntAct,20852615;21694707;22729084;21145741;24385583;25688134;27185836;27558293,PMID,1,10,8,,NULL
3,4053,DM_PPI1704660,high,ppi,,MI:0943;MI:0004;MI:0046,,BioGrid;DroID;FlyBase,FBrf0218395;22036573,PMID;other,0,3,2,,NULL
3,1224,DM_PPI1704661,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
3,1064,DM_PPI1704662,high,ppi,,MI:0028;MI:0113;MI:1022,,DroID;FlyBase;BioGrid,21694707,PMID,0,3,1,,NULL
3,5758,DM_PPI1704663,high,ppi,,MI:0943;MI:0007;MI:0046,,BioGrid;DroID;FlyBase,FBrf0218395;22036573,PMID;other,0,3,2,,NULL
3,5493,DM_PPI1704664,high,ppi,MI:0018,MI:0833;MI:0096;MI:0705;MI:0007;MI:0113;MI:0004;MI:1022;MI:0027,,DroID;FlyBase;DIP;BioGrid;IntAct,26595382;27558293,PMID,1,8,2,,NULL
3,2725,DM_PPI1704665,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,448,DM_PPI1704666,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,1307,DM_PPI1704668,high,ppi,MI:0018,MI:0705;MI:0007;MI:0006;MI:0113;MI:0004;MI:1022;MI:0029;MI:0028,,DroID;FlyBase;BioGrid,22729084;21694707;21145741;26157019;27558293,PMID,1,8,5,,NULL
4,5,DM_DR_PPI1740609,low,ppi,,MI:0029,,IntAct;mentha,21694722,PMID,0,1,1,,NULL
4,2183,DM_PPI1740573,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,2416,DM_PPI1740574,moderate,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1696,DM_PPI1740575,high,ppi,,MI:0113;MI:0006;MI:0004,,BioGrid;DroID;FlyBase;mentha,17311883,PMID,0,3,1,,NULL
4,497,DM_PPI1740576,low,ppi,MI:0018,,,BioGrid;DIP;DroID;mentha,14605208,PMID,1,0,1,,NULL
4,1612,DM_PPI1740577,high,ppi,,MI:0007;MI:0004;MI:0029;MI:0943;MI:0082,,DroID;BioGrid;mentha;FlyBase;IntAct,21875999;21694722,PMID,0,5,2,,NULL
4,1940,DM_PPI1740578,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,2683,DM_PPI1740579,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,2185,DM_PPI1740580,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,459,DM_PPI1740581,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1830,DM_PPI1740582,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,5390,DM_PPI1740583,low,ppi,MI:0018,,,BioGrid;DIP;DroID,14605208,PMID,1,0,1,,NULL
4,3600,DM_PPI1740584,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,69,DM_PPI1740585,high,ppi,,MI:0113;MI:0006;MI:0004,,BioGrid;DroID;FlyBase;mentha,17311883,PMID,0,3,1,,NULL
4,8851,DM_PPI1740586,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,1076,DM_PPI1740587,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,2187,DM_PPI1740588,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,1582,DM_PPI1740589,high,ppi,,MI:0943;MI:0082;MI:0007;MI:0004;MI:0029;MI:0046,,BioGrid;DroID;FlyBase;IntAct;mentha,21875999;FBrf0218395;22036573;21694722,PMID;other,0,6,4,,NULL
4,2598,DM_PPI1740590,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,914,DM_PPI1740591,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1379,DM_PPI1740592,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,9601,DM_PPI1740593,high,ppi,MI:0018,MI:0004;MI:0019,,DroID,15280236,PMID,1,2,1,,NULL
4,645,DM_PPI1740594,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,2256,DM_PPI1740595,high,ppi,,MI:0113;MI:0004,,BioGrid;DroID;mentha,22048023,PMID,0,2,1,,NULL
4,1450,DM_PPI1740596,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,2350,DM_PPI1740597,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,800,DM_PPI1740598,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1954,DM_PPI1740599,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,9149,DM_PPI1740600,low,ppi,,MI:0943,,BioGrid,22036573,PMID,0,1,1,,NULL
4,9004,DM_PPI1740601,high,ppi,MI:0915,MI:0943;MI:0082;MI:0007;MI:0004;MI:0029;MI:0046,,DroID;BioGrid;mentha;FlyBase;IntAct,21875999;FBrf0218395;22036573;21694722,PMID;other,1,6,4,,NULL
4,969,DM_PPI1740602,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,5748,DM_PPI1740603,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,227,DM_PPI1740604,high,ppi,,MI:0943;MI:0082;MI:0007;MI:0006;MI:0113;MI:0004,,DroID;FlyBase;BioGrid,23197473;21875999,PMID,0,6,2,,NULL
4,811,DM_PPI1740605,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1070,DM_PPI1740606,high,ppi,,MI:0943;MI:0082;MI:0705;MI:0007;MI:0113;MI:0004;MI:0029,,BioGrid;DroID;FlyBase;IntAct;mentha,17466076;21875999;21694722,PMID,0,7,3,,NULL
